,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,projected_growth_pct_2024_2034,median_annual_wage_usd,employment_2024,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability
ai_exposure_llm_human,1.0,0.8347705238754215,0.8215056401111818,-0.0940302098127326,0.2858671510225866,-0.07250517827282381,0.46981150822763385,0.7110944246286292,0.49131490915299175,0.4316327572520079,0.3862097006321119,0.06716089646671555,-0.3942190900376187,-0.07951680776643485
ai_exposure_llm_gpt4,0.8347705238754215,1.0,0.8343509684122778,-0.15554019349185125,0.30405599842364917,-0.10147776588046745,0.4447312495327578,0.6815802716630587,0.42938725497792407,0.42534962415708216,0.32943927282682656,0.1371174506590788,-0.375194168512478,-0.08796643205911624
ai_exposure_aioe,0.8215056401111818,0.8343509684122778,1.0,-0.07476576419870003,0.43626556457166177,-0.10249941792293762,0.5875517984314099,0.8075259930534141,0.6105990930176984,0.5174928865697019,0.4481186528569275,0.19152598613253735,-0.4542834089952957,-0.006034336902874981
projected_growth_pct_2024_2034,-0.0940302098127326,-0.15554019349185125,-0.07476576419870003,1.0,0.15534002485774423,-0.12525048477625472,0.131896877276247,0.03082860268691787,0.1943612493000106,0.03387068994720667,0.1247448760209188,0.09111514399290567,0.06057622348364552,0.017930881106819705
median_annual_wage_usd,0.2858671510225866,0.30405599842364917,0.43626556457166177,0.15534002485774423,1.0,-0.1999083652865109,0.5917706136182546,0.48874717606731105,0.6045943848979665,0.4752571154280067,0.32707316944090775,0.34621011074209895,0.020856707136966524,0.16876164200458577
employment_2024,-0.07250517827282381,-0.10147776588046745,-0.10249941792293762,-0.12525048477625472,-0.1999083652865109,1.0,-0.2556329774783338,-0.1762857549854295,-0.2818098084797536,-0.09970288703996852,-0.04776604186236828,-0.2017452893902359,-0.17014560373009038,-0.012541199124116484
cognitive_demand_score,0.46981150822763385,0.4447312495327578,0.5875517984314099,0.131896877276247,0.5917706136182546,-0.2556329774783338,1.0,0.7625253446777167,0.9470741698939168,0.6948694601285291,0.655320496976242,0.7451745860401255,0.18479280316589405,0.47191673191340777
verbal_ability,0.7110944246286292,0.6815802716630587,0.8075259930534141,0.03082860268691787,0.48874717606731105,-0.1762857549854295,0.7625253446777167,1.0,0.7789274461418754,0.44021006980673594,0.5648296002690703,0.31936056119513323,-0.3366998946332093,0.204700911866271
reasoning_ability,0.49131490915299175,0.42938725497792407,0.6105990930176984,0.1943612493000106,0.6045943848979665,-0.2818098084797536,0.9470741698939168,0.7789274461418754,1.0,0.5733146669766207,0.6091730429320333,0.5916273747784668,0.09097006333252512,0.34263263041047104
quantitative_ability,0.4316327572520079,0.42534962415708216,0.5174928865697019,0.03387068994720667,0.4752571154280067,-0.09970288703996852,0.6948694601285291,0.44021006980673594,0.5733146669766207,1.0,0.3768859894704506,0.46477706979311345,0.040784363162631634,0.09087205893168455
memory_ability,0.3862097006321119,0.32943927282682656,0.4481186528569275,0.1247448760209188,0.32707316944090775,-0.04776604186236828,0.655320496976242,0.5648296002690703,0.6091730429320333,0.3768859894704506,1.0,0.46908239177607824,-0.10461494405296354,0.38911003781550507
perceptual_ability,0.06716089646671555,0.1371174506590788,0.19152598613253735,0.09111514399290567,0.34621011074209895,-0.2017452893902359,0.7451745860401255,0.31936056119513323,0.5916273747784668,0.46477706979311345,0.46908239177607824,1.0,0.3679171355020413,0.5966077565170074
spatial_ability,-0.3942190900376187,-0.375194168512478,-0.4542834089952957,0.06057622348364552,0.020856707136966524,-0.17014560373009038,0.18479280316589405,-0.3366998946332093,0.09097006333252512,0.040784363162631634,-0.10461494405296354,0.3679171355020413,1.0,0.267875439299821
attention_ability,-0.07951680776643485,-0.08796643205911624,-0.006034336902874981,0.017930881106819705,0.16876164200458577,-0.012541199124116484,0.47191673191340777,0.204700911866271,0.34263263041047104,0.09087205893168455,0.38911003781550507,0.5966077565170074,0.267875439299821,1.0
